textile_type,qty_exported,countries_exported,type_of_product,per_unit_cost,total_price,year_of_export,month_of_export,customer_name,seller_name
cotton,317,Vietnam,Shirt,74.96,23762.32,2020,Jul,Howard Robbins,Larry Castillo
polyester,48,Indonesia,Pants,42.46,2038.08,2021,Jul,Andrew Stevens,Elizabeth Gomez
cotton,342,Bangladesh,Blouse,25.13,8594.46,2020,Aug,Natalie Melton,Kim Lambert
rayon,89,Indonesia,Shawl,96.69,8605.41,2021,Feb,Danielle Kelly,Summer Castro DVM
batik,160,Hong Kong,Blouse,98.88,15820.8,2021,Jul,Mark Schaefer,Maria Coleman
batik,51,India,Skirt,2.51,128.01,2020,Jan,James Douglas,Mario Williams
spandex,5,China,Bags,35.78,178.9,2022,Jan,Kyle Smith PhD,Jacqueline Delacruz
rayon,183,Hong Kong,Shirt,12.16,2225.28,2021,Feb,Rachel Lynn,Jeremy Leonard
nylon,420,Malaysia,Headwear,90.39,37963.8,2021,Aug,Jesse Brown,Lauren Pugh
batik,183,India,Shirt,46.02,8421.66,2022,Mar,Stephanie Gonzalez,Olivia Roberts
silk,64,Vietnam,Pants,89.25,5712.0,2020,May,Susan Bowman,Erica Woods
wool,324,Malaysia,Dress,70.88,22965.12,2020,Feb,Kristine Stevens,Megan Clark
batik,469,Malaysia,Shawl,62.03,29092.07,2020,Jul,Stacey Mcpherson,Thomas Richard
rayon,74,China,Blouse,85.81,6349.94,2021,Jan,Anthony Garcia,Christian Cochran
linen,454,Malaysia,Shirt,79.85,36251.9,2021,Jan,Timothy Ruiz,Rachel Ewing
polyester,353,China,Blouse,68.9,24321.7,2021,Jun,Dustin Shields DDS,Donald Stewart
nylon,362,Austria,Pants,78.6,28453.2,2020,Sep,Christina Green,Cody May
batik,362,Vietnam,Dress,38.43,13911.66,2020,Feb,Katie Grant,Erin Nichols DDS
batik,246,Hong Kong,Scarf,1.91,469.86,2021,May,Danielle Simmons,Hannah Rogers
batik,49,Pakistan,Headwear,99.85,4892.65,2020,Jul,Kimberly Henry,Jason Wilson
batik,261,United Kingdom,Dress,43.1,11249.1,2022,Jan,Henry Fisher,Bobby Elliott
flax,67,Vietnam,Dress,2.2,147.4,2021,Jul,Peter Kim,Dr. Timothy Martinez
polyester,448,Vietnam,Blouse,92.64,41502.72,2021,Sep,Brian Davis,Charles Pierce
nylon,498,Malaysia,Shirt,34.11,16986.78,2021,Aug,William Cook,Adam Burns
flax,132,Malaysia,Dress,46.33,6115.56,2022,Apr,Mr. Patrick Stewart,Rebecca Donaldson
linen,2,Indonesia,Scarf,59.53,119.06,2020,Jul,Olivia Harris,Christine Brown DDS
batik,106,Netherlands,Shawl,28.7,3042.2,2021,Mar,Mark Rodriguez,Stephanie Sanchez
batik,89,Indonesia,Blouse,88.66,7890.74,2021,Oct,Katherine Hansen,Heather Smith
cotton,192,Indonesia,Headwear,94.95,18230.4,2020,Jan,Kara Luna,Michelle Cole
flax,484,Indonesia,Shirt,45.25,21901.0,2022,Jul,Brian French,Kristen Frank
batik,153,Malaysia,Skirt,16.49,2522.97,2020,May,Tiffany Garcia,James Pratt
batik,322,Pakistan,Skirt,81.32,26185.04,2021,Feb,Peter Martin,Jennifer Miller
batik,448,Japan,Bags,58.14,26046.72,2021,Aug,Carmen Hart,James Rhodes
batik,486,Italy,Blouse,36.32,17651.52,2021,Feb,Michael Ruiz,Michael Lane
flax,439,Japan,Scarf,12.74,5592.86,2020,Apr,Theresa Nelson,Ashley Leon
polyester,277,Vietnam,Pants,26.19,7254.63,2021,Jan,Kenneth Rose,Tiffany Caldwell
rayon,70,India,Dress,82.48,5773.6,2020,Aug,Roy Camacho,Tamara Guerrero
spandex,156,Vietnam,Pants,33.99,5302.44,2020,Apr,James Young,Taylor Brown
flax,464,United States,Shirt,3.47,1610.08,2021,Oct,Jane Bowers,Barbara Frederick
cotton,194,Korea,Dress,57.3,11116.2,2020,Oct,Joseph Patterson,Pamela Ewing
batik,326,Japan,Skirt,82.59,26924.34,2020,Jul,Ian Ayala,Corey Brown
flax,7,Hong Kong,Jacket,52.56,367.92,2020,Jul,Lisa Williams,Maria Stewart
rayon,101,Bangladesh,Blouse,57.11,5768.11,2020,Oct,Patricia Hale,Matthew Thompson
batik,268,United States,Scarf,12.47,3341.96,2021,May,Jessica Reyes,Allison Garza
batik,385,Japan,Scarf,71.32,27458.2,2022,Apr,Timothy Proctor,Tracey Brown
flax,461,Vietnam,Skirt,15.29,7048.69,2020,Oct,Aaron Wilkerson,Alec Herrera
nylon,433,Indonesia,Blouse,72.75,31500.75,2020,Oct,Heather Taylor,Jennifer Harrison
rayon,398,China,Shirt,77.9,31004.2,2021,Nov,Amber Fields,Kevin Black
batik,279,Japan,Scarf,34.02,9491.58,2022,May,Luis Klein,Dr. Jennifer Fox
batik,67,Korea,Headwear,37.76,2529.92,2022,May,Curtis Brown,Gary Black
batik,124,United States,Shirt,22.99,2850.76,2020,Apr,Brandon Maldonado,Michelle Black
polyester,66,United States,Scarf,19.19,1266.54,2020,Oct,Annette Andrews,Brian Scott
nylon,35,Vietnam,Skirt,5.57,194.95,2022,Nov,Kelly Johns,Jason Jones
batik,420,United Kingdom,Skirt,9.13,3834.6,2022,Jul,David Hensley,Timothy Bishop
rayon,53,Korea,Skirt,39.94,2116.82,2021,Apr,Christopher Waller,Stephanie Williams
wool,412,Vietnam,Bags,73.37,30228.44,2020,May,Jeremiah Delacruz,Robert Wong
batik,333,United States,Blouse,50.62,16856.46,2021,Feb,Emily Mcdonald,Jesus Lewis
linen,77,Malaysia,Bags,75.28,5796.56,2022,Nov,Chad Donaldson,Brandy Stevens
nylon,461,China,Dress,38.35,17679.35,2020,Nov,Melanie Knight,Jessica Kennedy
nylon,71,Hong Kong,Blouse,10.97,778.87,2022,Jul,Julian Nichols,Eric Woodward
batik,214,Indonesia,Shirt,2.51,537.14,2020,Jul,William Mitchell,Julie Meza
flax,427,Bangladesh,Jacket,70.11,29936.97,2021,Sep,Gabriela Booth,Jonathan Leach
silk,393,Vietnam,Shirt,34.33,13491.69,2021,Dec,Paul Jackson,Alfred Pratt
linen,188,Ukraine,Headwear,38.26,7192.88,2022,Oct,Jessica Barron,Tamara Rose
nylon,437,Hong Kong,Dress,66.54,29077.98,2021,Jan,Jose Stanley,Thomas Robertson
nylon,265,Pakistan,Bags,26.49,7019.85,2020,Sep,Larry Benton,Mr. Paul Chang
polyester,437,Germany,Dress,64.18,28046.66,2022,Jan,Zachary Hoover,Steven Hood
silk,156,Japan,Dress,5.21,812.76,2022,Aug,Megan Richardson,Adrian Cook
batik,93,China,Skirt,74.53,6931.29,2021,Mar,Heather Butler,Matthew Graves
wool,49,Hong Kong,Shirt,56.8,2783.2,2020,Sep,Kayla Mcclure,Amy Moreno
linen,360,Vietnam,Skirt,70.23,25282.8,2021,Jul,Linda Harris,Ryan Lopez
wool,460,Indonesia,Skirt,95.54,43948.4,2020,Sep,John Walker,Tammie Moyer
batik,59,Bangladesh,Skirt,44.73,2639.07,2021,Jul,Zachary Garcia,Jeanette Donaldson
wool,158,United Kingdom,Scarf,35.42,5596.36,2021,Jan,Tracey Hawkins,Michelle Harvey
cotton,462,Malaysia,Pants,81.31,37565.22,2020,Jun,Daniel Brown,Jessica Cooper
flax,422,India,Pants,4.54,1915.88,2020,Aug,Crystal Barry,Casey Thomas
silk,307,Japan,Shirt,56.24,17265.68,2021,Feb,Douglas Palmer,Tiffany Medina
batik,343,Bangladesh,Blouse,47.08,16148.44,2021,Jul,Walter Washington,Richard Meyer
batik,294,Bangladesh,Shirt,79.81,23464.14,2022,Aug,Sarah Obrien,Mark Watkins
batik,412,Vietnam,Dress,28.6,11783.2,2021,May,James Johnson,Austin Schultz
wool,254,Hong Kong,Dress,39.3,9982.2,2021,Feb,Gloria Mckenzie,Mary Gordon
cotton,421,Hong Kong,Skirt,14.93,6285.53,2020,Jul,Billy Hunt,Michelle Frazier
batik,405,Malaysia,Skirt,2.81,1138.05,2022,Mar,Timothy Stokes,Shari Bowers
flax,448,China,Dress,3.18,1424.64,2021,Mar,Timothy Randall,Emily Ochoa
nylon,250,China,Scarf,55.25,13812.5,2020,Dec,Amanda Nelson,Frank Ho
wool,181,Bangladesh,Skirt,85.9,15547.9,2020,Nov,Dana Woods,Sharon Dyer
batik,406,Turkey,Dress,75.58,30685.48,2022,Mar,Mitchell Allen,Danielle Jenkins
spandex,396,Indonesia,Shawl,85.38,33810.48,2020,Jun,Julia Short,Keith Burke
wool,161,Vietnam,Jacket,99.33,15992.13,2022,Nov,Jonathan Martinez,Jonathan Benitez MD
flax,65,United Kingdom,Dress,17.67,1148.55,2022,Mar,Eugene Norton,Catherine Rose
spandex,121,Hong Kong,Scarf,70.48,8528.08,2020,Nov,Loretta Sanchez,Ashley Thompson
linen,83,Vietnam,Headwear,32.36,2685.88,2020,Nov,Michael Gonzalez,Erika Ross
nylon,440,Japan,Dress,99.43,43749.2,2020,Sep,Christine Barton,Jose Williams
batik,455,United Kingdom,Dress,92.23,41964.65,2022,Jul,Darlene Ellis,Scott Trujillo
batik,354,Malaysia,Blouse,32.86,11632.44,2020,Mar,Brittany Stewart,Erica Chung
batik,437,Bangladesh,Scarf,23.44,10243.28,2020,Nov,Matthew Hoffman,Todd Alvarado
batik,75,Indonesia,Shirt,35.15,2636.25,2022,Sep,Douglas Watson,Cynthia Howard
spandex,215,Italy,Pants,57.24,12306.6,2022,Nov,Michael Gallegos,Collin Garcia
jute,378,Turkey,Shawl,64.31,24309.18,2021,Mar,Carla Smith,Carolyn Villanueva
nylon,449,China,Headwear,13.49,6057.01,2021,Jun,Daniel Lynch,Caleb Yang
spandex,369,Hong Kong,Pants,45.76,16885.44,2020,Mar,Hayley Martin,Nancy Hernandez
spandex,21,Korea,Pants,74.11,1556.31,2022,Feb,Teresa Castro,Andrew Nichols
silk,133,Malaysia,Skirt,26.88,3575.04,2022,Mar,Russell Roth,Ruth Woods
silk,325,United States,Dress,8.17,2655.25,2020,Apr,Jody Huff,Anthony Livingston
batik,56,Malaysia,Skirt,61.99,3471.44,2021,May,Juan Owens,Amber Tucker
jute,238,Italy,Dress,94.86,22576.68,2022,Jun,Michelle Warren,Dawn Martin
polyester,78,Bangladesh,Skirt,86.66,6759.48,2021,Apr,Hannah Gardner,Sydney Garza
batik,254,Bangladesh,Bags,81.88,20797.52,2020,Dec,Jane George,Stacy Wong
nylon,256,Indonesia,Pants,69.99,17917.44,2021,Feb,Daniel May DDS,Brittany Snyder
batik,296,Japan,Dress,10.26,3036.96,2022,Sep,Kimberly Williams,Christina Mcbride
batik,162,Ukraine,Scarf,31.93,5172.66,2021,Aug,Antonio Shaffer,Kayla Smith
batik,470,Indonesia,Scarf,75.32,35400.4,2021,Sep,Brad Smith,David Davidson
spandex,165,United States,Jacket,38.84,6408.6,2021,May,Samantha Sullivan,Mrs. Kimberly Jones PhD
rayon,114,Pakistan,Dress,69.91,7969.74,2020,Jul,Amanda Carter,Brenda Wilson
batik,99,India,Pants,89.35,8845.65,2020,Dec,Jamie Gardner,Manuel Jones Jr.
wool,6,United States,Dress,63.02,378.12,2022,Feb,Valerie Rodriguez,Kayla Lindsey
batik,226,India,Skirt,32.3,7299.8,2020,Jan,Tyler Martinez PhD,Darryl Butler
linen,77,United Kingdom,Blouse,42.82,3297.14,2020,Apr,Tonya Webb,Joseph Leonard
silk,87,Indonesia,Scarf,5.19,451.53,2021,Jul,Julie Jimenez,Adam Foster
polyester,110,Vietnam,Blouse,63.21,6953.1,2022,May,Michael Holloway,Stephen Fox
flax,227,China,Headwear,25.93,5886.11,2020,Jan,Ann Bell,Beth Davis
flax,196,Malaysia,Jacket,96.11,18837.56,2020,Apr,Michael Olson,Jessica Hernandez
silk,144,India,Skirt,89.54,12893.76,2020,Aug,Alexa Moore,Steven Sutton
wool,172,Bangladesh,Skirt,11.06,1902.32,2021,Feb,Diana Jackson,Ian Carter
nylon,269,Vietnam,Dress,96.72,26017.68,2022,Jul,Jorge Perry,Kristina Hickman
cotton,78,China,Dress,27.78,2166.84,2021,Jul,Seth Moore,Sean Roberts
batik,495,Vietnam,Skirt,55.41,27427.95,2022,Jul,Sara Ramos,Brian Anderson
flax,161,United States,Shawl,1.3,209.3,2021,Sep,Christina Ellis,Cynthia Cochran
batik,75,United States,Scarf,35.97,2697.75,2022,Oct,Paul Mcbride,Anthony Romero
rayon,193,Ukraine,Blouse,69.78,13467.54,2022,Oct,Kenneth Whitehead,Heather Washington
polyester,428,Pakistan,Skirt,57.19,24477.32,2021,Apr,Robert Macdonald,Crystal Young
wool,71,Indonesia,Shirt,16.11,1143.81,2021,Jan,Lisa Carter,Kelly Hale
polyester,273,Japan,Scarf,43.54,11886.42,2022,Aug,Brian Jones,George Smith
flax,309,Vietnam,Shirt,91.21,28183.89,2021,May,Joseph Garrett,John Murray
linen,492,Ukraine,Dress,35.37,17402.04,2020,May,Charles Turner,Melissa Gomez
batik,366,Japan,Blouse,48.09,17600.94,2022,May,Jason Allison,Mr. John Wagner
batik,235,Malaysia,Dress,59.01,13867.35,2020,Sep,Steven Bernard,Danielle Holt
linen,275,Vietnam,Skirt,20.42,5615.5,2020,Mar,Crystal Lewis,Ashley Hernandez
silk,92,Malaysia,Jacket,15.24,1402.08,2020,Apr,Steven Castaneda,Clifford Bennett
spandex,306,China,Blouse,14.85,4544.1,2020,Mar,Robert Walker,Brian Morgan
spandex,165,Indonesia,Scarf,6.71,1107.15,2020,Dec,Timothy Williams,Robert Guerrero
wool,199,Japan,Skirt,86.77,17267.23,2020,Jun,Krystal Anderson,Kayla Mclaughlin
jute,425,China,Shirt,26.53,11275.25,2020,Jul,Erin Johnson,Megan Chavez
rayon,123,China,Scarf,93.51,11501.73,2020,Jul,Aaron Yates,Jason Long
jute,87,Japan,Dress,34.44,2996.28,2022,Mar,Tiffany Miller,Bernard Collins
batik,37,India,Scarf,83.65,3095.05,2020,Apr,Chase Brown,Earl Dillon
nylon,259,United Kingdom,Pants,13.33,3452.47,2022,Jul,Angela Thompson,Christopher Tran
nylon,279,Vietnam,Dress,39.67,11067.93,2022,Jan,Matthew Rice,Melissa Rodriguez
nylon,8,United States,Dress,72.43,579.44,2022,Oct,Selena Ferguson,Eduardo Jones
nylon,345,United States,Shirt,80.42,27744.9,2020,Sep,Cody Martinez,Michele Thompson
batik,253,Japan,Dress,43.92,11111.76,2021,Sep,Alexis Wilson,Christina Taylor
rayon,339,Bangladesh,Skirt,79.42,26923.38,2021,Oct,Carlos Allen,Tammy Moore
silk,492,Malaysia,Shawl,64.46,31714.32,2020,Jul,Patty Smith,Rhonda Hammond
rayon,123,Vietnam,Dress,5.0,615.0,2022,Jan,Janice Greene,Adam Daniels
silk,415,Indonesia,Skirt,59.38,24642.7,2021,Feb,Roy Christensen,Jesus Ford
jute,392,Vietnam,Pants,29.25,11466.0,2020,Oct,David Williams IV,Jennifer Green
batik,274,Bangladesh,Pants,82.07,22487.18,2021,Jan,Cynthia Rivera,Derek Wilcox
nylon,420,United States,Scarf,34.37,14435.4,2020,Dec,Tyler Sanchez,Meagan Lopez
linen,19,Japan,Skirt,38.86,738.34,2022,Nov,Joseph Smith,Theodore Gray
batik,224,Vietnam,Shawl,26.88,6021.12,2020,Jul,Yesenia Hill,Whitney Ballard
batik,35,Netherlands,Blouse,8.2,287.0,2022,May,Dale Casey,Walter Burgess
wool,488,United States,Skirt,9.56,4665.28,2020,Jul,Kathryn Allen,Danielle Merritt
silk,59,Hong Kong,Shirt,14.74,869.66,2020,Dec,Joanna Wilson,Gregory Harris
batik,173,China,Dress,72.91,12613.43,2022,Jul,Lisa Smith,Kerry Benton
silk,133,China,Headwear,75.38,10025.54,2022,Jul,Michael Castro,Keith Brooks
polyester,260,China,Pants,3.27,850.2,2020,Apr,Cynthia Tucker,Mary Brown
rayon,456,United Kingdom,Pants,9.81,4473.36,2021,Aug,Jeanne White,Angelica Gonzalez
batik,243,Turkey,Bags,60.03,14587.29,2020,Jun,Jonathan Davis,Steven Martin
linen,157,United Kingdom,Blouse,53.26,8361.82,2022,Dec,Brian Brady,Mallory Johnson
batik,373,United Kingdom,Shirt,93.75,34968.75,2020,Jan,Emily Kemp,Keith Walker
batik,244,Indonesia,Headwear,80.6,19666.4,2022,Oct,Brian Simon,Margaret Lewis
rayon,369,Hong Kong,Shawl,17.16,6332.04,2022,Jun,Leah King,Stephen Kim
batik,196,Japan,Skirt,85.01,16661.96,2020,Nov,Steven Tran,Anthony Mullins
batik,48,Hong Kong,Bags,28.92,1388.16,2022,Jan,Julia Davis,Alexis Donovan
batik,75,Bangladesh,Headwear,31.99,2399.25,2022,May,Joshua Parker,Erik Thompson
spandex,442,United States,Blouse,63.96,28270.32,2020,Feb,Jacqueline Best,Jim Turner
batik,65,Malaysia,Scarf,18.02,1171.3,2022,Jul,Dakota Reynolds,Christina Gonzales
jute,164,Bangladesh,Shirt,27.91,4577.24,2022,Jun,Heather Steele,Daniel Murphy
batik,312,Hong Kong,Scarf,46.67,14561.04,2022,Feb,Deanna Morris,Matthew Villanueva
nylon,389,Malaysia,Shirt,38.77,15081.53,2021,Nov,Shawn Miller,John Hale
linen,149,Vietnam,Bags,60.95,9081.55,2020,May,Christine Galvan,Vincent Miller
batik,452,Pakistan,Headwear,3.14,1419.28,2021,Sep,Jessica Harper,Jessica Wong
rayon,59,India,Shirt,85.25,5029.75,2021,Aug,Mr. Robert Parker,Emily Logan
polyester,374,China,Blouse,87.5,32725.0,2020,Dec,Christopher Vazquez,Anthony Miller
batik,259,Vietnam,Shirt,88.22,22848.98,2021,Jul,Kristine Fisher,April Sanchez
jute,193,Malaysia,Dress,76.23,14712.39,2022,Sep,Pamela Williams,Leslie Jones
jute,3,Austria,Dress,21.82,65.46,2021,Nov,Christopher Ray,Courtney Jones
polyester,427,China,Scarf,73.58,31418.66,2020,Jul,Amy Fitzpatrick,Terry Rodgers
silk,418,China,Blouse,91.64,38305.52,2020,Jun,Sydney Norton,Scott Lucas
jute,498,Hong Kong,Dress,57.65,28709.7,2022,Mar,Christopher Griffin,Sabrina Murphy
polyester,392,United States,Blouse,86.37,33857.04,2020,Dec,Vanessa Morris,Amber Stanton
batik,206,China,Pants,73.67,15176.02,2022,Sep,Michael Lang,Mariah Sanders
rayon,59,China,Dress,98.87,5833.33,2020,Jul,Daniel Salazar,Victoria Norman
linen,183,Indonesia,Skirt,33.19,6073.77,2020,Jul,Sean Stewart,Brittney Arias
batik,261,United States,Dress,12.06,3147.66,2022,Apr,Melanie Jarvis,Kelli Hale
flax,147,Malaysia,Dress,3.89,571.83,2021,Jan,Jeanne Flores,Alec Elliott
wool,332,India,Scarf,80.85,26842.2,2020,Jul,Elijah Thompson,Dr. Barbara Mccarty MD
batik,343,Hong Kong,Scarf,13.5,4630.5,2020,Dec,Elizabeth Arnold,Denise Fields
nylon,332,Bangladesh,Headwear,93.03,30885.96,2021,Feb,Johnny Barrett,Tammy Perez
linen,40,Hong Kong,Headwear,68.96,2758.4,2021,Dec,Heather Brown,Sheri Pittman
batik,49,Austria,Shirt,71.54,3505.46,2020,May,Carol Frazier,Tracy Moore
silk,373,Vietnam,Bags,28.35,10574.55,2020,Aug,Paul Valdez,Gregory Smith
batik,55,United Kingdom,Blouse,5.86,322.3,2020,Dec,William Flores,Erica Thomas
cotton,148,Malaysia,Pants,27.99,4142.52,2022,Jul,Brittany Fernandez,Andrea Brown
batik,414,Indonesia,Jacket,45.36,18779.04,2022,Feb,Deborah King,James Sanchez
batik,452,Malaysia,Pants,42.24,19092.48,2020,May,Ashley Crawford,Alexis Thomas
spandex,248,Bangladesh,Dress,0.39,96.72,2022,Jan,Amanda Nguyen,Katrina Vasquez
batik,50,United Kingdom,Blouse,74.55,3727.5,2022,Dec,Jason May,Sheena Mccarthy
batik,481,Japan,Scarf,18.01,8662.81,2021,Dec,Anna Terry,Nancy Meyer
cotton,17,United Kingdom,Jacket,0.25,4.25,2020,Jun,Cindy Ward MD,Nicholas Sandoval
batik,136,United States,Skirt,84.55,11498.8,2020,Jun,Anthony Farley,Mrs. Sandra Thomas
rayon,477,United States,Bags,67.07,31992.39,2020,Nov,Raymond Pittman,Shawn Kim
wool,63,Hong Kong,Scarf,8.14,512.82,2021,Jul,Tammy Lang,Joseph Mays
flax,54,Austria,Dress,43.56,2352.24,2021,Jul,Angela Nunez,Theresa Willis
cotton,194,Bangladesh,Jacket,28.69,5565.86,2021,Apr,Sarah Miller,Michael Ford
silk,181,Hong Kong,Scarf,20.04,3627.24,2020,Jul,Joshua Wade,Victoria Adams
spandex,403,Bangladesh,Scarf,27.41,11046.23,2022,Dec,Amanda Mcdowell,Kelly Burton
rayon,466,Vietnam,Shirt,43.1,20084.6,2022,Jun,Stacy Rogers,David Collins
cotton,176,Indonesia,Shirt,15.89,2796.64,2021,Jul,Suzanne Brooks,David Ray
batik,53,Austria,Bags,70.19,3720.07,2022,Jan,Brandon Walker,Christine Williams
jute,472,Austria,Blouse,64.04,30226.88,2022,Jul,Jeffrey Stone,Lori Davis
batik,198,Vietnam,Bags,38.38,7599.24,2020,Jul,Erin Robertson,Nicholas Smith
linen,273,Japan,Dress,44.25,12080.25,2022,Sep,Emma Gonzalez,Steve Ramirez
rayon,442,Malaysia,Scarf,76.04,33609.68,2020,Jan,Jennifer Malone,Larry Miller
rayon,2,India,Headwear,85.02,170.04,2022,Oct,Stephanie Clay,Carolyn Nichols
linen,99,Pakistan,Scarf,59.31,5871.69,2022,Aug,Jeffrey Brooks,Julia Barber
spandex,283,Japan,Skirt,71.99,20373.17,2021,Aug,Debra Turner,Steven Moore
batik,341,Vietnam,Dress,94.22,32129.02,2021,Nov,Dr. Sarah Beck PhD,Natalie Evans
jute,99,Hong Kong,Skirt,0.91,90.09,2022,Jun,Aaron Johnson,Samantha Williams
silk,236,Austria,Skirt,38.11,8993.96,2020,May,Alison Lawrence,Greg King
spandex,347,United Kingdom,Blouse,17.13,5944.11,2021,Jan,Nicole Franklin,Sheila Chaney
jute,306,United Kingdom,Dress,62.88,19241.28,2022,Dec,Ryan Morris,Julie Brown
nylon,55,Malaysia,Shirt,31.97,1758.35,2020,Dec,Douglas Oliver DDS,David Santana
polyester,152,United States,Headwear,22.09,3357.68,2022,Sep,Christine Montgomery,Julie Cohen
flax,348,China,Scarf,42.82,14901.36,2020,Oct,Randall Lewis,Jeffrey Santos
rayon,330,United States,Skirt,13.03,4299.9,2022,Feb,Michael Doyle,Carly Hill
silk,315,Vietnam,Scarf,2.5,787.5,2020,Dec,Andrew Humphrey,Eric Graves
batik,147,India,Pants,25.14,3695.58,2020,May,Deborah Thomas,Mark Frazier
nylon,1,Japan,Shirt,30.09,30.09,2021,Jul,Kelly Matthews,Paul Bailey
batik,357,Malaysia,Pants,96.86,34579.02,2021,May,Zachary Freeman,Angelica Bryant
rayon,336,Malaysia,Scarf,67.6,22713.6,2021,Oct,Edwin Ford,Brittany Bell
batik,243,Malaysia,Dress,33.22,8072.46,2021,Jan,Melanie Allen,Jennifer Ramirez
nylon,171,Japan,Jacket,56.46,9654.66,2022,May,Misty Cisneros,Kristopher Anderson
batik,34,United States,Skirt,91.0,3094.0,2021,Nov,Eric Jones,Kyle Mullen
polyester,344,Austria,Blouse,21.89,7530.16,2020,Sep,Steven Ward,Dr. Donald Price
flax,304,United Kingdom,Bags,29.63,9007.52,2021,Mar,Jennifer Williams,Bobby Jordan
spandex,42,Hong Kong,Blouse,52.24,2194.08,2020,Jul,Keith Edwards,Craig Simon
polyester,435,Indonesia,Dress,92.85,40389.75,2020,Apr,Thomas Jones,Kelsey Garcia
nylon,125,Vietnam,Dress,86.55,10818.75,2022,Jul,Rebecca Kerr,Pamela Page
polyester,349,Vietnam,Shirt,93.27,32551.23,2022,Jun,James Rodriguez,Samuel Powell
rayon,92,Japan,Pants,96.21,8851.32,2020,Jan,Rebecca Hardy,Andrea Gonzales
batik,78,Vietnam,Pants,2.43,189.54,2021,May,Paul Kim,Brooke Young
nylon,230,Vietnam,Headwear,2.1,483.0,2020,Aug,Dawn Young,Donna Morgan
batik,325,China,Shirt,64.56,20982.0,2021,Sep,Sharon Reilly,Jasmine Hamilton
batik,127,China,Shirt,69.78,8862.06,2020,Jan,Bryan Bell,Jason Knox
silk,164,Ukraine,Shirt,68.68,11263.52,2022,Sep,Melissa Gonzalez,Michael Simmons
batik,480,Indonesia,Shirt,1.73,830.4,2021,Jul,Cynthia Williams,Joshua Sanchez
wool,330,France,Shirt,51.44,16975.2,2022,Jun,Barry Franklin,Amy Lee
batik,426,Hong Kong,Shirt,60.25,25666.5,2022,Sep,Joseph Norman,Emily Copeland
polyester,245,Indonesia,Shirt,57.28,14033.6,2020,Jul,Amy Navarro,Harry Jordan
batik,302,United States,Shawl,87.94,26557.88,2021,Dec,Charles Jensen,Rebecca Williams
nylon,131,China,Shirt,26.13,3423.03,2021,Aug,Richard Rodriguez,John King
silk,410,Bangladesh,Skirt,87.04,35686.4,2020,Jan,Corey Cohen,Brianna Smith
cotton,286,Vietnam,Skirt,25.69,7347.34,2021,Oct,Kimberly Ferrell,Donna Coleman
linen,272,Japan,Shirt,74.27,20201.44,2020,Aug,Deborah Webb MD,Bradley Mitchell
batik,134,India,Shirt,70.01,9381.34,2021,Oct,Joseph Smith,Keith Freeman
batik,57,Hong Kong,Dress,85.25,4859.25,2022,Apr,Joseph Graves,Steven Ramirez
spandex,159,Hong Kong,Blouse,87.13,13853.67,2020,Jul,Randall Scott,Christopher Woods
linen,484,Ukraine,Pants,35.58,17220.72,2021,Mar,Michael Jackson,Joshua Meyers
cotton,170,Vietnam,Shirt,95.13,16172.1,2020,Nov,George Rice,Jacob Martin
batik,16,China,Shawl,35.72,571.52,2022,Apr,Brooke Hall,Shannon May
batik,294,Japan,Scarf,34.86,10248.84,2021,Mar,Christine Day,Michelle Cowan
linen,305,Hong Kong,Shawl,75.55,23042.75,2021,Jan,Tanya Jordan,Ronald Herrera
spandex,478,Turkey,Shirt,93.63,44755.14,2022,Jul,Kelsey Waters,Kimberly Smith
rayon,278,Indonesia,Dress,93.85,26090.3,2020,Mar,Joan Simmons,Rachel Castillo
polyester,381,India,Skirt,82.25,31337.25,2021,Mar,Anthony Perez,Jody Cherry
batik,383,Pakistan,Bags,78.25,29969.75,2020,Jan,Julia Burton,Cynthia Avery
batik,390,Malaysia,Shirt,79.43,30977.7,2021,Aug,Kevin Glenn,Jonathan Bailey
flax,274,Indonesia,Jacket,59.75,16371.5,2020,Oct,Andrew Fox,Mario Fields
linen,430,China,Dress,92.58,39809.4,2022,Jul,Donna Castillo,Lee Knight
wool,187,Hong Kong,Blouse,94.6,17690.2,2021,Jul,Jennifer Martin,Joshua Cardenas
wool,113,United States,Scarf,97.18,10981.34,2020,Nov,Kelly Phillips,Lauren Lee
batik,476,China,Blouse,94.01,44748.76,2022,Apr,Eugene Steele,Courtney Smith
batik,32,Austria,Dress,62.84,2010.88,2020,Feb,Victoria Quinn,James Hudson
silk,442,Vietnam,Skirt,71.33,31527.86,2020,Jul,Kristen Martinez,Victor Harvey
polyester,288,Indonesia,Scarf,47.28,13616.64,2021,Aug,Hannah Castro,Ashley Lee
spandex,76,Indonesia,Skirt,34.49,2621.24,2022,Aug,Brooke Harper,Sarah Lopez
rayon,381,Hong Kong,Skirt,84.92,32354.52,2022,Aug,Kenneth Morgan,Brittany White
polyester,493,Malaysia,Shirt,2.04,1005.72,2022,Jul,Laura Fisher,Carmen Johnson
cotton,174,Indonesia,Dress,83.32,14497.68,2020,Jan,Alex Robertson,Mary Brown
spandex,99,Hong Kong,Shirt,2.55,252.45,2020,Oct,Elizabeth Davis,Joseph Campbell
silk,445,Malaysia,Dress,80.69,35907.05,2022,Jun,David Monroe,Dr. Grant Allen
