type_of_textile,qty_exported,countries_exported,type_of_product,price_of_product,year_of_export,month_of_export,customer_name,seller_name
rayon,452,Hong Kong,shawl,50.76,2022,5,John Reyes,Lori George
rayon,176,Netherlands,jacket,671.55,2020,8,Jason Gonzalez,Sabrina Nguyen
polyester,445,South Korea,shawl,824.29,2020,12,Jonathan Kelly,Andrea Petersen
linen,299,Australia,skirt,106.67,2022,8,Brian Thomas,Kenneth Smith
wool,425,Netherlands,scarf,513.49,2021,2,Danielle Brown,Patricia Barnett
wool,329,Japan,pants,919.35,2021,7,Aaron Hines,Michele Brooks
linen,101,Italy,shirt,25.17,2021,1,Omar Scott,Jason Butler
cotton,114,Spain,blouse,934.38,2021,5,Samantha Smith,Cheryl Vincent
silk,292,New Zealand,bags,161.64,2021,4,Susan Gordon,Blake Ashley
wool,325,France,dress,373.86,2021,5,Shane Ball,William Cook
rayon,288,Spain,scarf,174.35,2022,7,Derek Oneill,Timothy Sullivan
cotton,481,New Zealand,skirt,947.43,2021,8,Marilyn Graham,Amanda Armstrong
linen,393,China,scarf,624.57,2021,4,Russell Snyder,Corey Miller
rayon,171,Germany,skirt,429.17,2022,5,Travis Brooks,Antonio Mann
silk,397,Germany,blouse,496.7,2020,5,Wendy King,Jeffrey Oconnor
rayon,258,Australia,blouse,725.62,2022,1,Heather Schmidt,Dawn Cortez
wool,13,Germany,scarf,106.0,2022,5,Earl Monroe,Amanda Day
rayon,61,New Zealand,jacket,742.34,2020,9,Jesse Rogers,Heather Foster
batik,245,New Zealand,headwear,824.56,2021,1,Matthew Campbell,Wendy Mayer
wool,60,United Kingdom,shawl,737.04,2021,4,Alejandro Moreno,Briana Miller
batik,168,India,skirt,335.57,2021,10,Elizabeth Salazar,Kathryn Lamb
cotton,196,Japan,scarf,334.53,2021,11,Michelle Grimes,Joshua Patel
rayon,74,United Kingdom,skirt,116.77,2022,8,Rachel Harris MD,Rachel Newman
silk,195,South Korea,pants,388.28,2020,2,Thomas White,Jonathan Jones
linen,452,Hong Kong,pants,705.86,2020,4,Andrew Washington DVM,Natasha Jones
rayon,68,Hong Kong,jacket,73.88,2022,7,Eric Thompson,Chad Brooks
wool,488,Canada,skirt,191.02,2020,1,Michelle Schmidt,Scott Garcia
rayon,150,India,scarf,655.39,2021,12,Jill Coleman DDS,Tiffany Golden
cotton,298,Spain,shawl,157.45,2020,2,Shawn Porter,Robert Bentley
linen,70,Canada,shawl,603.72,2020,5,John Ray,Evelyn Griffin
silk,464,Japan,blouse,69.91,2022,12,Richard Mcneil,Shawn Moon
cotton,137,Netherlands,pants,817.87,2021,1,Dominique Medina,Jennifer Phillips
linen,343,Canada,dress,454.78,2022,12,Andrew Hendricks,Dana Lee
silk,161,Japan,dress,78.29,2020,10,Kim Lewis,James Barnes
cotton,250,France,headwear,198.05,2022,11,Kristie Brown,Angela Johnston
polyester,353,South Korea,shawl,420.73,2021,8,Phyllis Carter,Amy Reynolds MD
batik,119,Australia,shirt,647.25,2020,3,Jessica Scott,Casey Gonzalez DVM
batik,475,France,dress,293.61,2020,11,Bradley Davis,Jessica Jones
linen,136,United Kingdom,pants,663.65,2020,11,Nicholas Atkinson,Amy Marshall
cotton,22,China,shawl,765.91,2020,11,Gary Smith,Steven Lyons
wool,289,South Korea,pants,883.12,2021,1,William Bird,Jessica Hall
cotton,15,Canada,pants,203.25,2021,5,Laura Velazquez,Timothy Matthews
silk,298,France,skirt,786.55,2021,6,Jonathan Nguyen,Jordan Stone
batik,174,Netherlands,skirt,538.28,2022,3,Jennifer Vasquez,Mr. Benjamin Gallegos
rayon,439,Netherlands,jacket,935.2,2021,4,Casey Gordon,Shelley Howard
linen,452,Italy,shawl,849.82,2021,10,Ashley Ruiz,Catherine Cunningham
linen,119,United Kingdom,bags,780.05,2020,5,Dr. Laura Peterson MD,Cesar Smith
rayon,347,United Kingdom,scarf,6.57,2022,2,James Mitchell,Christine Hudson
batik,81,United Kingdom,pants,827.02,2020,1,Maria Ellis,Justin Jones
cotton,13,Canada,shawl,171.56,2020,3,Daniel Ball,David Chang
cotton,384,Spain,dress,11.76,2021,1,Lawrence Robbins,Roger Juarez
cotton,102,United Kingdom,skirt,919.3,2021,9,Bryan Douglas,Scott Villegas
cotton,23,Netherlands,scarf,292.69,2020,1,Kevin Hernandez,Alex Camacho
rayon,50,Japan,jacket,900.01,2022,8,Matthew Snyder,Daniel Johnson
batik,70,Japan,headwear,856.71,2022,8,Sandra Velez,Lisa Morton
linen,266,United States,headwear,690.46,2021,5,Stephanie Martinez,Autumn Mcdonald
cotton,126,New Zealand,headwear,283.77,2021,2,Stephanie Martin,Natalie Mills
rayon,275,India,pants,544.01,2021,6,Christian Solomon,Michael Daniel
polyester,341,Netherlands,dress,477.82,2020,5,Adrian Thomas,Oscar Davis
silk,308,United States,headwear,967.9,2021,4,Benjamin Hall,Joyce Hanson
wool,412,Germany,bags,705.16,2022,2,David Stokes,Haley Marsh
wool,490,Australia,shawl,704.36,2021,1,Thomas Graham,Stephen Morris
linen,292,Japan,skirt,376.25,2022,4,Kevin Mclaughlin,Charles Patel
rayon,308,Germany,pants,658.61,2022,7,Susan Hernandez,Kristin Bryant
rayon,243,Italy,bags,335.78,2022,11,Cole Thompson,Keith Marquez
wool,178,Japan,shawl,249.52,2022,12,Ryan Robles,Henry Joseph
wool,1,Netherlands,dress,431.07,2022,4,Karen Williams,Frances Manning
cotton,56,Italy,bags,912.59,2021,2,Chelsea Torres,Paul Johnson
cotton,60,Germany,dress,822.16,2020,3,Anthony Smith,Crystal Vazquez
wool,478,Australia,headwear,978.28,2022,6,Jasmine Rodriguez,Elizabeth Levy
cotton,393,India,shirt,891.26,2021,2,Emma Knox,Kristen Vega
silk,195,Japan,blouse,775.9,2020,9,David Gutierrez,Marcus Obrien
silk,416,France,bags,185.64,2021,11,Phillip Miller,Tommy Newton
cotton,489,China,jacket,114.24,2020,11,Amber Mccarthy,John Hamilton
linen,262,Japan,skirt,979.12,2022,12,Courtney Cummings,David Morales
wool,342,France,jacket,724.44,2022,11,Krista Torres,Timothy Roberts
wool,459,China,shirt,324.89,2021,3,Alejandra Brown,Kristi Lopez
silk,360,India,shirt,621.75,2022,4,Pamela Davis,Omar Anthony Jr.
cotton,240,Australia,bags,560.54,2022,9,Maria Scott,Adam Jones
rayon,45,United Kingdom,bags,598.09,2021,9,Crystal Barr,Monica Sellers
silk,11,United States,skirt,741.22,2022,12,Leah Anderson,Patrick Black
polyester,111,United States,bags,258.07,2021,1,Walter Howell,Tamara Jimenez
rayon,292,India,bags,531.76,2022,6,Wesley Suarez,Zoe Robinson
linen,437,Hong Kong,skirt,253.37,2022,12,Andrew Walters,Mary Herrera
cotton,341,United States,blouse,366.32,2022,4,Joshua Roberts,Christopher Leon
polyester,290,Netherlands,headwear,106.95,2021,5,Chad Martinez,Katrina Sandoval
linen,190,Japan,skirt,182.69,2021,9,Ashley Johnson,Stephanie Colon
cotton,225,China,shawl,195.57,2022,6,Andrew Hernandez,Scott Gutierrez
cotton,484,Canada,scarf,975.83,2022,8,Larry Wheeler,Alicia Mckay
silk,423,Australia,skirt,909.56,2022,11,Stephen Richardson,Christopher Carroll
silk,287,Italy,scarf,474.61,2022,2,Arthur Woods,Justin Burns
linen,460,India,pants,219.12,2020,6,Nancy Phillips,Craig Chandler
silk,399,United States,headwear,106.51,2020,12,Tara Hernandez,Jennifer Bryan
silk,25,South Korea,pants,741.83,2022,1,Carol Aguilar,Reginald Rojas
polyester,147,China,jacket,972.49,2022,8,Daniel Cameron,Keith Sanchez
silk,420,New Zealand,jacket,942.57,2021,3,Jessica Baker,Carol Thomas
polyester,272,China,jacket,287.78,2022,1,Kelly Soto,Amanda Jackson
polyester,452,Hong Kong,skirt,55.68,2021,1,Veronica Vance,Heather Mcdaniel
silk,234,Italy,shawl,920.45,2020,8,Mrs. Vanessa Thomas,Jeffery Morrison
polyester,222,Canada,dress,626.7,2021,7,Carrie Higgins,Daniel Johnson
silk,371,New Zealand,dress,556.32,2021,5,Amy Bryant,Jennifer Burke
batik,408,India,dress,68.44,2020,11,Destiny Martinez,Trevor Taylor
rayon,404,India,bags,682.05,2022,11,Julie Daniels,Brandi Taylor
cotton,410,Netherlands,headwear,65.38,2022,5,Beverly Young,Tricia Chambers
cotton,474,Spain,shirt,472.15,2020,2,Mark Chan,Amy Carter
polyester,182,Australia,blouse,579.09,2021,12,William Mendoza,Jill Allen
wool,309,China,shirt,845.89,2022,5,Elizabeth Miller,Kendra Stanton
silk,47,United States,skirt,696.89,2021,1,Chelsea James,Joseph Johnson
linen,313,Australia,scarf,763.06,2021,11,Guy Jenkins,Scott Gibson DDS
batik,309,New Zealand,headwear,805.32,2020,5,Vicki Martinez,Anthony Ross
polyester,480,France,scarf,192.26,2022,2,Johnathan Kelley,Laura Murphy
linen,147,India,scarf,108.72,2022,8,Carmen Bailey,Kimberly Browning
polyester,65,Spain,shirt,138.51,2021,5,Alexandra Long,Natalie Foster
polyester,4,United Kingdom,blouse,800.65,2020,8,Scott Garcia,Erika Sanchez
linen,411,New Zealand,headwear,147.05,2022,12,Nathan Preston,Brandi Palmer
rayon,294,Australia,shawl,562.93,2021,4,Scott Rios,William Moore
rayon,76,Hong Kong,jacket,227.58,2020,3,Jennifer Tran,Kayla Green
wool,366,Germany,shirt,697.95,2021,10,Bryan Lee,Laurie Meadows
wool,345,Netherlands,scarf,451.1,2022,8,Elizabeth Freeman,Penny Smith
polyester,234,France,jacket,196.55,2022,10,Paul Gregory,Vanessa Richards
linen,149,China,dress,622.81,2020,6,Robert Campbell,Mrs. Susan Garcia DDS
batik,366,United States,dress,867.14,2021,11,Phillip Martin,Ryan Weber
rayon,450,South Korea,pants,97.45,2020,2,Mary Martinez,Adam Savage
cotton,111,Spain,headwear,159.16,2021,4,Lori Meyers,Dylan Jimenez
batik,78,Spain,shirt,611.04,2020,3,Shawn Hammond,Kimberly Kennedy
linen,293,India,shawl,332.2,2022,4,Michelle Park,Christina Hunter
polyester,392,India,scarf,191.02,2021,2,Kendra Edwards,Emily Sanford
cotton,206,Hong Kong,headwear,282.2,2022,1,Bradley Barr,Sherri Hernandez
silk,299,United Kingdom,bags,721.46,2020,6,Abigail Ross,Toni Sparks
silk,208,Italy,pants,760.46,2021,4,Marisa Chapman PhD,Alexander Garza
wool,273,Netherlands,pants,323.69,2022,12,Kent Murray,Brandon Chambers
batik,291,China,skirt,894.37,2020,3,Nathan Jones,Susan Brown
linen,110,Germany,scarf,915.0,2022,1,Joe Bates,Donald Sutton
batik,243,Germany,blouse,173.22,2021,7,Bill Webster,Jessica Velazquez
rayon,433,Italy,pants,17.29,2022,7,Wesley Adkins,Carlos King
rayon,81,United Kingdom,headwear,968.51,2022,12,Katrina Wolfe,Brenda Harris
wool,131,India,shawl,585.34,2021,12,Mr. Joshua Smith,Jeffrey Lynch
polyester,270,Japan,pants,198.13,2022,4,Ricardo Taylor,Samantha Lee
batik,297,United Kingdom,bags,811.33,2020,5,Brittany Stout,Steven Berry
linen,3,France,shawl,128.08,2021,12,Christopher Johnson,Karen Torres
batik,273,South Korea,bags,147.43,2020,11,Carol Sutton,Latoya Newman
wool,289,Japan,shawl,466.92,2020,9,Jonathan Powell,Kenneth Williams
polyester,384,Spain,bags,914.7,2021,3,Deanna Romero,Ronald Douglas
batik,495,India,shirt,602.28,2022,6,Michael Woods,Nancy Luna
wool,63,Japan,shirt,796.26,2022,3,Sara Wright,Stephanie Higgins
cotton,283,Italy,shirt,998.35,2022,1,Alexis Smith,James Martin
wool,207,Australia,skirt,631.98,2020,1,Roy Nunez,Duane Herrera
batik,112,United Kingdom,pants,633.85,2022,7,Eric Johnson,Tanya Robinson
batik,244,United Kingdom,shawl,544.3,2022,9,Lisa Matthews,Daniel Campbell
batik,297,Germany,blouse,32.96,2020,9,Derek Macdonald,Diana Simpson
polyester,488,Spain,bags,842.54,2022,9,Darren Mata,Robert Freeman
silk,479,Japan,shawl,803.86,2020,11,Deanna Jones,Tyler Long
batik,254,Canada,blouse,223.87,2022,4,Alfred Stanley,Lisa Lopez
polyester,114,New Zealand,bags,358.29,2021,5,Todd Smith,Courtney Andrews
wool,312,United Kingdom,shirt,894.9,2022,3,Joseph Orr,Devin Williams
linen,399,Germany,headwear,925.15,2020,4,Marcus Russell,Stephanie Jacobson
cotton,232,Canada,skirt,610.19,2020,11,Christopher Maynard,Melissa Wright
wool,205,Germany,shawl,457.61,2021,10,Kerry Snow,Leslie Mann
linen,379,Italy,headwear,947.89,2022,3,Megan Parker,Jeffrey Koch
silk,357,South Korea,skirt,43.83,2022,9,Anna Ramirez,Jessica Martinez
linen,326,South Korea,shawl,444.51,2022,10,Richard Brown,Amber Perez
polyester,108,Italy,scarf,697.86,2021,9,Howard Davis,Gina Morgan
rayon,17,South Korea,blouse,646.43,2022,2,Elaine Petersen,Jessica Patrick
silk,106,India,jacket,519.45,2022,10,Diane Munoz,Diane Roberts
wool,214,China,skirt,746.25,2020,5,Sheena Alvarado,Sarah Freeman
polyester,427,China,shawl,995.51,2020,1,Joe Lynch,Elizabeth Jimenez
silk,125,Spain,scarf,552.98,2020,1,Jennifer Webb,Rachel Braun
rayon,224,Germany,headwear,887.92,2020,8,Robert Li,Nicole Allen
silk,349,United Kingdom,dress,468.06,2022,1,Bobby Hurst,Tammy Leonard
batik,253,India,skirt,386.95,2022,8,Timothy Morris,William Hamilton
silk,133,New Zealand,shirt,926.11,2022,9,Jennifer Pennington,Travis Jones
cotton,258,Germany,bags,163.35,2022,7,Denise Porter,James Silva
rayon,315,New Zealand,shawl,772.92,2020,7,Jessica Conner,Ricardo Ross
rayon,84,South Korea,dress,583.44,2021,10,Cheryl Shepherd,Juan Smith
rayon,281,New Zealand,bags,846.53,2021,6,Kenneth Price,Willie Mendez
linen,491,Germany,shawl,806.23,2022,6,William Brown,Pamela Ayala
polyester,392,Canada,dress,438.44,2022,9,John Mccall,Amber Coleman
linen,246,South Korea,dress,951.8,2022,3,Patricia Smith,Bryan Jones
rayon,39,Hong Kong,pants,922.84,2020,6,Connie Flores,Dr. Robert Williams MD
polyester,220,India,jacket,926.42,2020,9,John Ross,Julie Christensen
wool,177,New Zealand,dress,307.46,2021,7,Cynthia Marshall,Thomas Wilkins
wool,172,Hong Kong,jacket,753.42,2021,9,Janet Lee,Kathleen Hill MD
silk,153,Germany,headwear,162.32,2021,5,Mark Long,Anthony Morris
cotton,354,Canada,shawl,359.52,2021,6,Susan Allen,Dustin Lowe
polyester,9,Germany,shawl,436.86,2022,6,Christina Chapman,Anne Grant
linen,434,Hong Kong,shawl,700.63,2021,7,Amber Good,Kim Robinson
wool,7,United Kingdom,jacket,588.45,2022,2,Kevin Smith,Jacob Anderson
batik,144,Italy,dress,88.15,2020,12,Nicole Rogers,Elizabeth Hopkins
wool,199,India,shawl,266.27,2022,2,Allison Terry,Daniel Leon
linen,193,France,headwear,610.27,2020,1,Christopher Fernandez,Joseph Taylor
wool,260,China,shirt,817.17,2020,8,Grace Parker,Laurie Rogers
silk,75,Italy,shirt,326.55,2021,12,Robert Evans,Michelle Anderson MD
silk,330,Italy,dress,830.77,2022,3,Kelsey Fernandez,Michael Scott
polyester,226,Japan,shawl,884.24,2020,4,Amy Rose,Louis Coleman
linen,206,Hong Kong,bags,199.55,2022,10,Sheri Lowe,Mary Ramirez DDS
polyester,34,South Korea,jacket,677.18,2021,6,Terry Horn,Lori Thompson
batik,418,Italy,jacket,737.87,2021,7,Drew Rice,Taylor Houston
batik,455,China,jacket,555.1,2020,4,Jordan Meyers,Rebecca Johnson
wool,12,Japan,shawl,725.75,2020,3,Brian Drake,Steven Beard
linen,393,India,dress,93.87,2021,12,Crystal Nelson,Cody White
cotton,349,Germany,headwear,629.66,2020,12,James Crawford,Kayla King
cotton,455,Canada,bags,521.89,2022,4,Sarah Martin,Ashley Roach
polyester,451,France,blouse,314.92,2021,4,Michael Jennings,Caitlin Walker
batik,334,India,bags,242.16,2021,10,Janice Walker,Douglas Ford
wool,3,Australia,scarf,409.87,2020,7,Brandi Gonzalez,Ms. Deanna Santana
cotton,200,Spain,jacket,496.98,2022,8,Connor Archer,Victoria Cabrera
polyester,210,South Korea,shirt,443.27,2021,9,Kimberly Welch,Cassandra Lee
rayon,65,Germany,headwear,20.72,2022,6,Jacob Clark,Mrs. Amanda Lindsey
cotton,119,Hong Kong,dress,949.16,2022,7,Lisa Robinson MD,Charles Long
wool,97,United States,pants,373.1,2022,12,Kristine Anderson,Ms. Jodi Mitchell
polyester,78,South Korea,scarf,463.77,2022,9,Derek Thompson,Jessica Vega
polyester,74,Australia,skirt,972.79,2021,12,Brian Sanchez,Thomas Black
cotton,147,New Zealand,blouse,37.41,2022,6,Steven Miller,Kristy Thomas
silk,163,Canada,bags,556.6,2021,8,Amy Eaton,Michelle Brooks
polyester,54,Italy,scarf,809.7,2020,4,Cathy Hardin,Megan Jones
cotton,46,India,skirt,432.33,2020,3,Jon Bush,Jacob Davis
linen,300,United States,skirt,714.49,2021,12,Carrie Clark,Tanya Young
batik,96,China,pants,564.29,2021,9,Carmen Arnold,Amanda West
batik,350,Japan,skirt,285.48,2022,3,Stephen Gray,Maria Shaw
cotton,217,India,dress,461.9,2020,7,David Valdez,Cheyenne Wells
polyester,196,Italy,shirt,166.01,2022,8,Amber Gonzalez,Mariah Shaw
rayon,204,South Korea,skirt,983.56,2020,6,Darlene Caldwell,Nancy Drake
cotton,434,India,jacket,259.85,2021,7,Mark Love,Olivia Smith
silk,326,Australia,skirt,21.47,2021,10,Eric Graham,John Barnes
polyester,460,Netherlands,dress,439.41,2020,9,Brandi Long,Melissa Holmes
linen,326,Spain,shirt,636.5,2020,4,Angela Anderson,Brian Wilkins
cotton,100,Netherlands,jacket,198.54,2022,2,Samuel Blair,Donna Jenkins
polyester,173,China,blouse,758.78,2021,11,Brittany Maldonado,Katherine Williams
wool,467,Netherlands,shawl,828.84,2022,1,Sherry Carpenter,Sandra Herrera
wool,122,Hong Kong,shawl,632.43,2022,4,Nancy Fleming,Andre Scott Jr.
silk,277,China,dress,437.56,2020,9,Sean Ross,Debbie Irwin
batik,494,Japan,skirt,561.05,2020,7,David Parker,Gary Mcconnell
linen,427,Italy,skirt,522.82,2021,8,Jake Butler,Rita White
rayon,188,France,bags,21.81,2021,7,Cynthia Gonzales,Anthony Alexander
polyester,262,India,dress,298.57,2022,4,Jack Luna,Lori Riggs
batik,109,New Zealand,skirt,217.66,2020,10,Christopher Houston,Michael Cunningham
wool,386,France,jacket,803.73,2022,1,Robert Wright,James Rodriguez
cotton,460,Canada,dress,779.07,2020,6,Alejandro Johnson,Connie Bernard
polyester,389,Spain,skirt,970.63,2022,12,Pamela Fox,Donna Baker
linen,10,Canada,dress,767.89,2020,11,James Strickland,Donald Romero
cotton,58,Japan,jacket,926.04,2020,5,Erica Chase,Julie Arellano
polyester,338,Netherlands,skirt,900.24,2020,12,John Gonzalez,Andrea Garcia
wool,438,United States,shirt,947.64,2021,1,Jason Nguyen,Nathan Garcia
rayon,357,Netherlands,blouse,989.94,2022,2,Miss Natalie Ortiz,William Andrews
linen,17,New Zealand,pants,576.55,2022,4,Adam Myers,Crystal Schultz
polyester,154,United Kingdom,pants,973.73,2022,11,Jamie Lewis,Darrell Mendoza
silk,89,Netherlands,bags,308.45,2022,10,Dominique Vasquez,Kelly Brown
cotton,359,India,headwear,72.56,2022,1,Christopher Henry,Anthony Arnold
batik,394,China,bags,621.22,2022,2,Kenneth Fritz,Jonathan Doyle
batik,54,New Zealand,bags,25.76,2022,12,Christopher Nicholson,Chelsea May
wool,376,France,bags,402.63,2022,7,Emily Martinez,Jeremy Parker
linen,115,Italy,scarf,926.45,2021,9,Kimberly Clements,Loretta Williams
silk,362,New Zealand,pants,177.37,2022,5,Noah Barnes,Danielle Reed
polyester,415,Japan,headwear,173.18,2020,2,Gregory Austin,Julia Leon
polyester,378,South Korea,jacket,831.65,2021,10,Carl Dixon,Emily Schwartz
cotton,18,Canada,skirt,110.56,2021,1,Jonathan Rivera,George Frost
rayon,271,New Zealand,jacket,6.06,2020,8,Rebecca Webb,Ashley Jenkins
silk,118,South Korea,shawl,221.1,2020,11,Dr. Joseph Juarez,Kelly Heath
rayon,459,Australia,headwear,571.58,2020,8,Robin Jimenez,Cindy Brewer
linen,2,Netherlands,blouse,856.44,2021,1,Ricky Moreno,Danielle Alvarez
linen,127,China,skirt,586.02,2020,6,Kelsey Parker,Dan Doyle
silk,457,Italy,pants,23.11,2020,1,Stacy Brown,Jesse Murray
polyester,241,United Kingdom,jacket,36.61,2022,4,Rachel Page,James Harris
rayon,177,United Kingdom,shawl,923.92,2021,5,Kim Kerr,Adam White
silk,70,Netherlands,pants,455.02,2020,5,Shane Norton,Randy Boyd
cotton,225,Japan,scarf,542.96,2020,7,Timothy Tanner,Mary Yang
rayon,338,Netherlands,blouse,706.52,2020,2,Carl Mendoza,Derek Wheeler
rayon,5,United States,skirt,415.27,2020,10,Brian Ross,Patricia King
cotton,176,United States,skirt,453.04,2021,7,Yvonne Williamson,Eduardo Patton
cotton,213,United States,scarf,749.9,2022,9,Morgan Welch,Morgan Reynolds
linen,123,Germany,shawl,932.65,2022,7,Holly Edwards,Sarah Ayers
polyester,62,Netherlands,scarf,544.46,2021,10,Angelica Hart,Teresa Martin
cotton,230,United States,dress,184.53,2021,4,Joseph Jones,Jessica Evans
polyester,449,Japan,headwear,337.77,2020,1,Vanessa Thornton,Michelle Wong
silk,276,United Kingdom,jacket,633.54,2020,5,Nicole Graves,Norma Young
wool,160,Australia,jacket,754.98,2022,4,Elizabeth Mason,Dominic Thornton
cotton,302,Netherlands,shirt,333.36,2021,1,Ellen Cannon,Megan Allen
silk,409,United Kingdom,blouse,106.6,2020,2,Janice Hogan,Corey Long
wool,185,Netherlands,bags,552.47,2022,3,Richard Nguyen,Benjamin Cardenas
cotton,187,New Zealand,shirt,655.76,2021,10,Breanna Mccoy PhD,Edward Garcia
batik,20,Spain,shawl,182.8,2021,2,Gene Hill,Timothy Gomez
batik,258,New Zealand,dress,853.26,2020,5,Tony Pennington,Peter Gray MD
batik,337,China,shawl,173.06,2022,6,Alicia Morales,Antonio Williams
cotton,59,France,dress,251.73,2022,2,John Watts,Kristine Payne
linen,361,China,scarf,58.26,2022,8,Melissa Thomas,Vanessa Johnson
wool,158,Italy,shirt,270.06,2021,10,Janice Fletcher,Daniel Estrada
wool,439,Japan,skirt,789.34,2020,10,Jacob Barber,Kristi Hall
wool,112,China,dress,180.67,2021,9,Harry Figueroa,Laurie Trujillo
batik,402,United States,headwear,457.69,2022,7,Stacie Wilson,Ashley Stark
linen,203,Hong Kong,shawl,539.99,2022,10,Jason Henderson,Timothy Quinn
wool,463,Japan,blouse,696.06,2022,1,Zachary Potter,Melissa Sullivan
batik,421,Hong Kong,shirt,81.01,2022,8,Edward Simpson,Janet Bruce
wool,474,Canada,headwear,499.59,2020,8,Kerri Barron,Kevin Parker
linen,391,France,shirt,748.95,2022,7,Christina Cabrera,Alicia Glenn
cotton,453,Netherlands,shawl,630.54,2020,11,Eric Oliver,Anne White
polyester,394,India,skirt,899.83,2021,12,Nicole Leon,Jennifer Morales
linen,389,Netherlands,jacket,947.06,2022,10,Shannon Beasley,Charles Simmons
rayon,188,Hong Kong,headwear,422.93,2021,6,Renee Butler,Jill Smith
batik,138,Japan,shirt,321.56,2022,10,Kathy Reynolds,Ronald Montgomery
batik,60,United Kingdom,bags,894.94,2022,1,Patrick Lyons,Courtney Marquez
batik,400,Germany,jacket,645.1,2020,3,Gregory Cross,Nathan Thompson
cotton,109,Italy,blouse,892.43,2021,1,James Griffin,Christopher Cook
cotton,230,United States,shawl,999.44,2022,9,Jean Jackson,Charles Wilson
rayon,223,Canada,headwear,377.93,2022,7,James Perez,Wendy Smith
wool,216,Japan,blouse,179.46,2020,4,Theresa Fitzgerald,Robert Hood
rayon,372,Italy,dress,895.47,2022,12,Marie Gonzalez,Robert Peterson Jr.
polyester,302,India,jacket,675.34,2022,4,Ashley Tucker,Alexander Thompson
polyester,304,United Kingdom,pants,660.64,2020,7,James Cannon,Jonathan Sampson
rayon,1,India,blouse,742.18,2021,11,Eric Bryant,Luke Martinez
rayon,329,United States,dress,550.05,2021,6,Diana Lee,Stephen Johnson
silk,393,Japan,headwear,287.12,2021,4,Rebecca Thornton,Tammy Moore
cotton,105,Germany,shawl,939.72,2020,11,Miranda Martinez,Meghan Hammond
silk,85,Germany,blouse,464.76,2022,1,Stephanie Price,Edwin Anderson
rayon,205,France,pants,500.34,2022,8,Steven Cross,Anne Moreno
silk,393,Netherlands,dress,449.78,2020,2,Gregory Bradford,Jennifer Smith
rayon,270,France,bags,406.62,2022,1,David Guerrero,Paul Coleman
rayon,472,France,bags,98.87,2022,1,Guy Turner,Victoria Johnson
cotton,42,France,headwear,876.26,2020,2,Jill Calhoun,Hannah Dodson
rayon,418,Japan,headwear,551.45,2021,6,Victoria Flores,Brittany Henderson
linen,234,Canada,headwear,376.93,2020,4,Christopher Lopez,Joseph Boyd
rayon,436,South Korea,pants,172.81,2021,1,Debra Gonzalez,Cathy Salas
silk,299,Hong Kong,shirt,836.23,2020,5,Ronald Miller,Johnathan Thompson
silk,320,Netherlands,headwear,249.98,2022,7,Jennifer Myers,Elizabeth Blair
batik,10,India,jacket,773.97,2022,9,Kim Oconnor,Kristen Camacho
batik,278,Italy,pants,579.81,2020,11,Willie Benjamin,Jill Lawson
polyester,428,United Kingdom,dress,304.88,2022,11,Anthony Davis,April Howard
batik,286,Netherlands,headwear,971.28,2020,5,James Zamora,Mr. David Burton
linen,184,France,scarf,894.46,2021,3,Franklin Parker,Charles Torres
wool,32,Germany,shirt,193.6,2021,7,Felicia Stewart,Caitlin Peterson
wool,368,New Zealand,blouse,641.11,2022,4,Steve Ellis,Carolyn Jones
linen,316,India,headwear,444.23,2021,3,Nancy Singh,Heather Jones
cotton,32,South Korea,headwear,529.2,2020,11,Yvonne Lee,Jessica Riley
silk,84,Netherlands,bags,164.35,2020,1,Emma Roberts,Cassidy Clarke
rayon,495,United States,skirt,208.0,2021,8,Chad Martin,Paul Bennett
silk,461,New Zealand,pants,453.98,2022,8,William Roy,Kara Johnson
rayon,438,Hong Kong,blouse,66.29,2020,9,Travis Glenn Jr.,David Wright
linen,419,India,jacket,193.17,2020,6,Crystal Larsen,Rebecca Morris
rayon,69,South Korea,skirt,96.44,2021,2,Amanda Johnson,William Morris
silk,92,Germany,skirt,772.03,2020,7,Tony Boone,Susan Mitchell
rayon,201,Italy,jacket,8.55,2020,11,Jason Fischer,Marvin Harris
cotton,376,Netherlands,scarf,283.35,2020,10,Shannon Smith,Michael Taylor
silk,149,India,shirt,461.6,2022,8,Tonya Wilson,Robert Barajas
polyester,35,United States,jacket,203.47,2021,2,Cynthia Schwartz,Cassandra Johnson
cotton,96,Netherlands,skirt,55.83,2022,7,Robert Hess,John Rush
rayon,313,France,dress,838.94,2022,6,Kerri Dunn,Ronald Bryant
polyester,181,Japan,skirt,645.93,2020,6,Tracey Wilson,Robert Moore
rayon,254,Canada,headwear,755.05,2022,4,Rebecca Levy,Elizabeth Odom
silk,252,India,dress,716.41,2021,3,Wendy Thompson,Jean Romero
batik,46,Canada,blouse,641.79,2021,2,Andrea Aguirre,Jon Ford
rayon,432,United Kingdom,pants,600.96,2021,3,Vincent Johns,David Berg
cotton,241,United States,pants,433.85,2020,10,Colleen Roberts,Lindsay Cunningham
cotton,283,France,shirt,992.68,2021,2,Thomas Fox,Andrew Everett
linen,214,New Zealand,blouse,74.97,2021,2,Paul Morales,Emily Guerra
wool,459,Germany,bags,14.12,2022,4,Dr. Brittany Burke,Linda Wilcox
